iso,compare,base,abs_diff,rel_pct,table,part,sign
CRI,9041.537249029538,22287.55,13246.012750970462,146.5,4,A,base>compare
GHA,1208.01438798675,13931.78,12723.76561201325,1053.3,4,A,base>compare
JOR,4334.477444878765,16879.45,12544.972555121236,289.4,4,A,base>compare
PAN,9166.563556703317,21641.84,12475.276443296683,136.1,4,A,base>compare
MNG,2861.679067723709,14842.7,11981.020932276291,418.7,4,A,base>compare
BOL,3772.038631421833,14915.84,11143.801368578166,295.4,4,A,base>compare
MRT,1925.8101278031625,12839.97,10914.159872196837,566.7,4,A,base>compare
AUS,32523.088110120825,43375.72,10852.631889879176,33.4,4,A,base>compare
MDV,5290.116145281936,16060.62,10770.503854718065,203.6,4,A,base>compare
LTU,14197.234946619366,24942.88,10745.645053380635,75.7,4,A,base>compare
LKA,3550.213338314237,14293.0,10742.786661685763,302.6,4,A,base>compare
MUS,10157.506961394043,20813.95,10656.443038605958,104.9,4,A,base>compare
GTM,4061.586435234751,14406.26,10344.67356476525,254.7,4,A,base>compare
BDI,485.89034536707936,10383.85,9897.959654632921,2037.1,4,A,base>compare
HRV,15331.853968875275,25011.26,9679.406031124723,63.1,4,A,base>compare
BLZ,6254.342072525326,15559.99,9305.647927474674,148.8,4,A,base>compare
FSM,3051.5329515141234,11825.51,8773.977048485876,287.5,4,A,base>compare
CAF,672.0041827937243,8940.94,8268.935817206277,1230.5,4,A,base>compare
SYR,4133.448396221836,12263.06,8129.611603778163,196.7,4,A,base>compare
GRD,10074.98826653533,18159.29,8084.30173346467,80.2,4,A,base>compare
ROM,9361.348775292588,17211.95,7850.601224707412,83.9,4,A,base>compare
SWZ,4904.799831998844,12481.74,7576.940168001156,154.5,4,A,base>compare
POL,13784.160063643674,21161.84,7377.679936356326,53.5,4,A,base>compare
DMA,9095.026393079715,15929.7,6834.673606920285,75.1,4,A,base>compare
GNB,1016.693781433435,7475.75,6459.056218566565,635.3,4,A,base>compare
BRA,8509.430265719515,14961.16,6451.729734280485,75.8,4,A,base>compare
ZMB,1157.5934721444826,7307.29,6149.696527855517,531.2,4,A,base>compare
VUT,3500.0149050854684,9131.14,5631.125094914531,160.9,4,A,base>compare
EGY,4490.6195975635765,9650.3,5159.680402436423,114.9,4,A,base>compare
ZAR,276.9935080141201,5334.77,5057.77649198588,1826.0,4,A,base>compare
